"id","culture","culture_code","region","location","description","probability_sample","position","comment","created","modified","created_by_id"
1,"Akan","FE12","West Africa","Ghana and Cote d'Ivoire","The Akan are peoples living between the Volta river and the Atlantic coast in southern and central Ghana and in southeastern Cote d'Ivoire. They include a large number of ethnic groups, the most well-known of which are the Ashanti (Asante) and the Fanti (Fante). The Akan share a common language, known as Twi. Twi belongs to the Akan branch of the Kwa subfamily of the Niger-Congo family of languages. The Akan peoples have a long and well documented history. Akan subsistence is based on agriculture, the form of which varies depending on the local ecosystem. Akan peoples live in towns and villages in the forest. In 1995 the Akan represented 44 percent of the population of Ghana, numbering about 7,000,000 Akan. There were 4,300,000 Fanti and 1,170,000 Ashanti.",1,"8.0,-2.0","Language: Kwa branch Niger-Congo family","2013-07-08 13:33:03.775815","2013-07-08 13:33:03.778988",1
2,"Azande","FO07","Central Africa","Sudan, CAR, Democratic Republic of the Congo","The Azande are a large group, living in Sudan and the Central African Republic as well as in the Democratic Republic of the Congo. The Azande constitute a conglomeration of originally distinct ethnic groups that became culturally, politically, and linguistically united through conquest.",1,"4.5,21.0","","2013-07-08 13:33:04.050008","2013-07-08 13:33:04.051531",1
3,"Bagisu","FK13","East Africa","Mount Elgon in eastern Uganda.","The Bagisu or Gisu live on the western slopes of the now extinct volcano Mount Elgon in eastern Uganda. Lugisu (Masaba), the language of the Bagisu, is a Bantu language in the larger Niger-Congo group of languages. The economy is based on sedentary agriculture, with some raising of cattle, goats, and sheep. In pre-colonial days (prior to 1900) settlements were built high on the mountainside for defensive purposes. With the pacification of the region, settlements have spread into the valleys and plains. Traditional territorial units ranged from the neighborhood, to the village, the village cluster, and the district. The twentieth century socio-political unit is the parish.",0,"1.0,34.5","","2013-07-08 13:33:04.096433","2013-07-08 13:33:04.098032",1
4,"Banyoro","FK11","East Africa","Uganda","The Banyoro live largely in western Uganda, east of Lake Mobutu. Bunyoro is one of the administrative regions that make up Uganda. Runyoro, the language of the Banyoro, belongs to the Central Bantu division of the Bantu language family. The Banyoro had a powerful kingdom for many centuries; its influence waned in the eighteenth and nineteenth centuries under pressure from other kingdoms. All Ugandan kingdoms were abolished after Ugandan independence from British rule, but they were restored in 1993. The Banyoro are largely sedentary agriculturalists.",0,"1.7,31.0","","2013-07-08 13:33:04.156239","2013-07-08 13:33:04.157807",1
5,"Bena","FN31","East Africa","Tanzania","The Bena are agriculturalists who live in two different ecozones in Tanzania. One is a high plateau where a large majority of the Bena live and the other is a plain, occupied by a small minority. The Bena speak a Southern Bantu language of the Niger-Congo language family. In pre-colonial times the Bena were organized into villages which were largely autonomous and warring (2: Swartz (1968)). They were conquered by the Hehe and, in the late nineteenth century, became subject to German colonists.",0,"-9.25,35.0","","2013-07-08 13:33:04.250374","2013-07-08 13:33:04.251929",1
6,"Dogon","FA16","West Africa","Mali, Burkina Faso","The Dogon are a group of about 600,000 people who live primarily in the districts of Bandiagara and Douentza in the western African nation of Mali. Some Dogon reside in Burkina Faso. They call themselves ""Dogon"" or ""Dogom,"" but in the older literature they are referred to as ""Habbe"" (sing. Kado), a Fulbe word meaning ""stranger"" or ""pagan."" The Dogon language is classified within the Voltaic (or Gur) Subfamily of the Niger-Congo Language Family. The population is concentrated in some 300 villages along a 145-kilometer stretch of escarpment called the Cliffs of Bandiagara. Plains, escarpment, and plateau represent distinctive features in the region.",1,"14.0,-3.0","Language: Mande and Gur branches of the Niger-Congo family","2013-07-08 13:33:04.326231","2013-07-08 13:33:04.328016",1
7,"Ganda","FK07","East Africa","Uganda","The Ganda, who refer to themselves as ""Baganda"" (sing. MUGANDA), are people of mixed origins, whose ancestors migrated to their present location between the thirteenth and sixteenth centuries. Historically, they were known as a warlike people who conquered many of their neighbors and, at the time of European contact, were a dominant power in the region. Buganda was one of the Lacustrine kingdoms along with Bunyoro, Toro, Ankole, and Kiziba. Today Buganda is one of four provinces in the state of Uganda and is located on the northern and western shores of Lake Victoria.",1,"0.5,33.0","","2013-07-08 13:33:04.356518","2013-07-08 13:33:04.358037",1
8,"Hausa","MS12","West Africa","Nigeria and Niger","The Hausa constitute the largest ethnic group in West Africa. The term ""Hausa"" actually refers to the language and, by extension, to its native speakers, of whom there are about 25 million. The Hausa are scattered across the savanna of northern Nigeria, the adjacent area of Niger, and, as a result of extensive migration, in enclaves in various African cities as far south as the Atlantic coast. The focal homeland covers an area about 640 kilometers wide, from Lake Chad to the east to the Niger River in the west.",1,"12.5,8.0","Language: Chadic group Afro-Asiatic family","2013-07-08 13:33:04.445590","2013-07-08 13:33:04.447069",1
9,"Igbo","FF26","West Africa","Nigeria","Igbo is the language spoken in Ala Igbo or Ani Igbo (Igboland) by the people who are collectively referred to as ""Ndi Igbo""; their community is known as ""Olu no Igbo"" (""those in the lowlands and uplands""). Before European colonialism, the Igbo-speaking peoples, who shared similarities in culture, lived in localized communities and were not unified under a single cultural identity or political framework, although unifying processes were present via expansion, ritual subordination, intermarriage, trade, cultural exchange, migration, war, and conquest. Villages and village groups were generally identified by distinct names of their ancestral founders or by specific names such as Umuleri, Nri, Ogidi, Nnobi, Orlu, Ngwa, Ezza, and Ohaffia.

Today Igbo-speaking individuals live all over Nigeria and in diverse countries of the world. As a people, however, the Igbo are located on both sides of the River Niger and occupy most of southeastern Nigeria. The area, measuring over 41,000 square kilometers, includes the old provinces of Onitsha, Owerri, East Rivers, Southeast Benin, West Ogoja, and Northeast Warri. In contemporary Nigerian history, the Igbo have claimed all these areas as the protectorate of the ""Niger Districts."" Thus began the process of wider unification and incorporation into wider political and administrative units. Presently, they constitute the entire Enugu State, Anambra State, Abia State, Imo State, and the Ahoada area of Rivers State; Igbo-speaking people west of the Niger are inhabitants of the Asaba, Ika, and Agbo areas of Delta State.",0,"6.0,7.0","Language: Igbo is a Benue-Congo branch Niger-Congo","2013-07-08 13:33:04.468615","2013-07-08 13:33:04.470307",1
10,"Kanuri","MS14","West Africa","Nigeria","The Kanuri are the fifth largest ethnic group in Nigeria and the dominant ethnic group in Borno State located in northeastern Nigeria. They are also found in all of the major cities of northern Nigeria and in the neighboring sections of Chad and Niger. The southwestern section of the Republic of Niger is predominantly Kanuri.

Although there are semi-legendary views about early Kanuri roots in Yemen, little is known of the earliest phases of Kanuri culture. Contemporary Kanuri are the descendants of the ruling Saifawa family of the Kanem Empire (846-1893) which at its peak in 1300 rivaled the Mali kingdom in the west. They converted to Islam in 1087. As a result of civil war, this family left Kanem in the fourteenth century and, after nearly a century of internal strife, established a new empire southwest of Lake Chad.",1,"12.0,12.0","Language: Saharan branch Nilo-Saharan family","2013-07-08 13:33:04.703247","2013-07-08 13:33:04.704936",1
